respondent,brand,attribute
1,A,Cheap
1,A,Innovative
1,A,Reliable
2,B,Cheap
3,C,Innovative
4,C,Reliable
4,C,Premium
5,D,Premium
6,C,Reliable
6,C,Innovative
7,B,For young people
8,C,Reliable
9,D,Premium
9,D,Reliable
10,C,Innovative
10,C,Premium
10,C,For young people
11,A,Innovative
11,A,For young people
11,A,Reliable
12,B,Cheap
12,B,Reliable
12,B,Innovative
13,A,Premium
14,A,Reliable
15,C,Reliable
16,B,Premium
16,B,For young people
17,C,Cheap
18,A,For young people
19,C,Premium
19,C,Reliable
20,A,Reliable
20,A,Innovative
20,A,For young people
21,D,Reliable
22,A,For young people
23,A,Reliable
24,A,Premium
24,A,Reliable
25,C,Premium
25,C,Reliable
26,D,Premium
26,D,Reliable
26,D,Cheap
27,A,Reliable
27,A,Premium
27,A,For young people
28,B,Cheap
28,B,For young people
28,B,Innovative
29,C,Innovative
29,C,For young people
29,C,Premium
30,B,Cheap
30,B,For young people
31,B,For young people
31,B,Cheap
32,C,For young people
32,C,Reliable
33,D,Premium
34,D,Premium
35,B,Reliable
36,A,Reliable
36,A,For young people
36,A,Premium
37,C,Innovative
38,D,Reliable
38,D,Premium
39,B,For young people
39,B,Cheap
39,B,Reliable
40,C,Reliable
41,A,Premium
42,B,For young people
42,B,Reliable
42,B,Cheap
43,B,Cheap
43,B,Premium
43,B,For young people
44,B,Cheap
45,B,Cheap
45,B,For young people
46,C,Innovative
46,C,For young people
47,A,Innovative
48,B,For young people
49,C,Premium
49,C,Cheap
49,C,Reliable
50,D,Premium
50,D,Reliable
50,D,Innovative
51,C,For young people
51,C,Innovative
51,C,Reliable
52,A,Reliable
52,A,Innovative
52,A,For young people
53,A,Cheap
53,A,Innovative
53,A,Reliable
54,C,Premium
55,A,Reliable
55,A,Innovative
55,A,For young people
56,D,Reliable
56,D,Premium
57,D,Premium
57,D,Reliable
58,B,Cheap
58,B,For young people
58,B,Innovative
59,B,For young people
59,B,Cheap
59,B,Reliable
60,C,Innovative
60,C,For young people
61,D,Reliable
61,D,Premium
61,D,Innovative
62,C,Innovative
62,C,Cheap
62,C,Premium
63,A,Reliable
63,A,Innovative
64,D,Innovative
65,A,Innovative
66,C,For young people
66,C,Innovative
66,C,Premium
67,A,Premium
67,A,Innovative
68,B,For young people
68,B,Innovative
69,A,Premium
69,A,Reliable
69,A,Innovative
70,C,Premium
71,A,Reliable
72,B,Cheap
72,B,For young people
73,D,Premium
73,D,Reliable
73,D,Innovative
74,C,Reliable
74,C,Innovative
75,D,Reliable
75,D,Premium
76,A,Innovative
77,C,Innovative
77,C,Premium
77,C,Reliable
78,B,Cheap
78,B,Reliable
78,B,For young people
79,C,Cheap
80,A,Innovative
80,A,Reliable
81,C,For young people
81,C,Reliable
81,C,Premium
82,B,Innovative
82,B,For young people
83,D,Premium
84,D,Premium
85,D,Premium
85,D,For young people
85,D,Reliable
86,C,For young people
87,D,Innovative
88,D,Reliable
88,D,For young people
88,D,Premium
89,C,Innovative
89,C,Reliable
89,C,For young people
90,C,Innovative
90,C,Premium
90,C,Cheap
91,C,Premium
91,C,Innovative
92,B,For young people
93,C,Cheap
93,C,Premium
94,B,For young people
94,B,Cheap
94,B,Reliable
95,B,Cheap
95,B,Premium
96,B,Cheap
96,B,Innovative
97,D,Premium
98,D,Reliable
98,D,Innovative
98,D,Premium
99,D,Premium
99,D,For young people
100,B,For young people
101,C,Innovative
101,C,For young people
102,D,Reliable
102,D,Innovative
103,B,Cheap
104,D,Premium
104,D,Reliable
105,A,Reliable
105,A,Premium
105,A,Innovative
106,A,Innovative
107,A,Premium
107,A,Reliable
107,A,Innovative
108,C,Innovative
109,C,Innovative
110,A,Premium
110,A,Innovative
110,A,Reliable
111,B,For young people
112,C,Innovative
113,C,Premium
113,C,For young people
113,C,Reliable
114,D,Premium
114,D,Reliable
115,B,Cheap
115,B,Reliable
115,B,For young people
116,C,Reliable
116,C,Premium
116,C,For young people
117,A,Premium
117,A,Innovative
117,A,Cheap
118,B,Cheap
118,B,Innovative
119,B,Reliable
119,B,For young people
120,B,Cheap
121,A,Reliable
122,D,Premium
123,B,For young people
124,C,Innovative
125,D,Reliable
126,C,For young people
126,C,Innovative
126,C,Cheap
127,A,Premium
127,A,Reliable
128,D,Reliable
129,C,Innovative
130,D,For young people
131,B,Cheap
132,B,Cheap
133,C,Innovative
133,C,For young people
134,B,Reliable
134,B,Cheap
135,C,Innovative
135,C,Reliable
136,D,Premium
137,C,Innovative
138,C,For young people
139,C,Innovative
139,C,Reliable
139,C,For young people
140,A,Premium
140,A,Innovative
141,C,For young people
141,C,Innovative
142,D,Reliable
142,D,Premium
142,D,Innovative
143,A,Reliable
143,A,Innovative
143,A,For young people
144,B,For young people
145,A,For young people
145,A,Reliable
145,A,Innovative
146,D,Innovative
146,D,Premium
146,D,Reliable
147,C,For young people
147,C,Premium
147,C,Reliable
148,D,Premium
148,D,Innovative
148,D,Reliable
149,A,Premium
149,A,Reliable
149,A,For young people
150,D,Reliable
150,D,Premium
150,D,Innovative
151,D,Innovative
152,D,Reliable
152,D,Innovative
152,D,Cheap
153,B,Cheap
153,B,For young people
153,B,Innovative
154,D,Premium
154,D,Innovative
155,D,Reliable
155,D,Premium
155,D,Innovative
156,B,Innovative
157,B,Reliable
157,B,Cheap
157,B,Premium
158,A,Cheap
158,A,Innovative
158,A,Premium
159,D,For young people
159,D,Premium
159,D,Reliable
160,C,Premium
160,C,Cheap
160,C,Innovative
161,D,Reliable
161,D,Premium
162,A,For young people
163,B,Cheap
163,B,Innovative
164,B,Premium
164,B,Innovative
164,B,Cheap
165,C,Premium
165,C,Reliable
166,B,Cheap
167,B,For young people
167,B,Cheap
168,B,For young people
168,B,Cheap
169,B,Cheap
169,B,Innovative
169,B,Reliable
170,D,Premium
170,D,Reliable
171,B,Cheap
172,B,Premium
173,D,Reliable
174,D,Reliable
175,D,Premium
175,D,Innovative
176,A,Reliable
176,A,Innovative
177,D,For young people
178,D,Premium
178,D,Reliable
179,C,Premium
179,C,Innovative
180,D,Reliable
181,A,Reliable
182,B,Premium
182,B,Cheap
183,D,Innovative
183,D,Reliable
183,D,Premium
184,A,Innovative
185,C,Premium
186,D,Innovative
187,C,Innovative
187,C,For young people
188,C,Cheap
189,A,Reliable
190,A,Premium
190,A,For young people
191,A,Reliable
192,B,Reliable
192,B,Cheap
193,B,Reliable
194,D,Reliable
194,D,Innovative
195,D,Premium
195,D,Innovative
196,C,Reliable
197,A,For young people
197,A,Innovative
197,A,Premium
198,A,For young people
198,A,Innovative
199,D,Innovative
200,A,For young people
201,A,Reliable
202,A,Innovative
202,A,Premium
202,A,Reliable
203,D,Innovative
204,C,For young people
204,C,Innovative
