id,tenure_months,monthly_charge,contract,internet,tech_support,online_security,streaming_tv,paperless,payment,senior,partner,dependents,phone_lines,support_calls,late_payments,data_gb,referred,region,churn
T02624,3,49.2,month-to-month,fibre,no,yes,yes,yes,card,1,no,no,3,2,0,15,no,south,yes
T03283,51,105.9,month-to-month,fibre,yes,no,no,no,card,0,no,no,0,0,0,61,no,islands,no
T04579,66,81.3,month-to-month,fibre,no,no,yes,yes,mailed check,0,no,no,3,0,0,39,yes,north,no
T03020,112,105.4,one-year,dsl,no,no,no,no,card,0,yes,no,0,2,0,88,no,islands,no
T00010,12,23.3,one-year,dsl,no,no,no,no,e-check,0,yes,no,0,2,0,81,no,islands,no
T00768,16,65.1,one-year,none,yes,no,no,yes,mailed check,0,no,no,2,0,1,109,no,south,no
T01935,114,72.1,one-year,none,no,no,no,no,bank transfer,0,no,no,2,0,1,36,no,islands,no
T06412,17,94.9,one-year,dsl,no,no,yes,yes,card,0,no,no,1,2,0,84,no,north,no
T05558,1,86.2,one-year,fibre,no,yes,no,yes,card,0,no,yes,2,1,0,114,yes,centre,no
T03974,6,79.4,month-to-month,fibre,no,no,yes,yes,e-check,0,no,no,2,1,0,133,no,south,yes
T01353,5,83.8,one-year,dsl,no,no,no,yes,e-check,0,no,yes,1,0,0,123,no,centre,no
T06327,8,59.6,one-year,fibre,yes,no,yes,no,bank transfer,0,yes,no,3,0,0,11,no,north,no
T02310,4,85.5,month-to-month,none,yes,no,no,no,card,0,no,no,2,0,0,81,yes,centre,no
T01266,92,37.5,month-to-month,fibre,no,yes,yes,yes,e-check,1,yes,no,1,1,0,31,no,south,yes
T00910,56,28.6,month-to-month,dsl,no,yes,yes,yes,mailed check,0,no,no,3,0,2,99,yes,islands,no
T02175,18,56.1,one-year,fibre,no,no,yes,yes,mailed check,0,yes,yes,1,0,1,47,no,north,no
T00979,18,83.9,month-to-month,fibre,no,yes,yes,no,e-check,0,no,no,2,0,0,89,no,north,yes
T02369,34,55.1,one-year,none,no,no,no,no,mailed check,0,yes,yes,1,0,0,182,no,south,no
T04542,10,29.9,month-to-month,dsl,yes,yes,yes,yes,mailed check,1,no,no,1,1,1,20,no,north,no
T04602,4,99.2,month-to-month,dsl,yes,no,no,yes,mailed check,0,no,no,1,0,0,129,no,islands,no
T01820,20,65.1,month-to-month,fibre,no,no,yes,yes,mailed check,0,no,no,2,0,0,81,no,islands,no
T00192,2,84.2,month-to-month,fibre,no,yes,yes,no,e-check,0,no,no,1,1,0,49,no,south,yes
T06508,37,23,month-to-month,fibre,no,yes,yes,no,mailed check,0,no,yes,1,2,0,59,no,islands,yes
T02209,10,55.8,month-to-month,none,no,no,yes,no,mailed check,0,no,no,2,0,0,76,yes,centre,no
T01056,43,25.5,month-to-month,fibre,no,no,no,yes,e-check,0,no,yes,2,0,0,124,no,north,no
T05522,21,25,month-to-month,dsl,yes,no,no,yes,card,0,no,no,1,1,0,66,no,south,no
T06295,27,48.4,month-to-month,fibre,no,yes,no,yes,bank transfer,0,no,yes,1,1,0,61,no,islands,no
T06395,29,97.9,month-to-month,dsl,yes,yes,yes,yes,card,0,yes,no,1,0,2,32,no,south,no
T03774,7,57.4,month-to-month,fibre,no,yes,yes,yes,e-check,0,yes,no,2,1,0,61,no,south,yes
T04373,16,93.9,month-to-month,fibre,no,yes,yes,yes,mailed check,0,no,no,1,0,0,43,no,islands,no
T02096,16,31.2,month-to-month,none,no,yes,no,no,card,0,yes,yes,1,0,0,56,no,north,no
T00082,11,90.5,two-year,fibre,no,no,yes,yes,mailed check,1,yes,no,1,0,0,33,no,centre,yes
T00054,35,106.7,month-to-month,fibre,no,no,yes,yes,e-check,0,yes,no,2,1,1,99,no,north,yes
T01945,33,54.2,month-to-month,fibre,no,no,yes,yes,e-check,1,no,yes,3,0,0,46,no,islands,yes
T05668,27,66.8,month-to-month,dsl,no,no,no,no,mailed check,0,yes,no,1,0,0,35,no,south,no
T00952,5,72.9,two-year,fibre,no,no,no,no,e-check,0,no,no,2,2,0,81,yes,islands,no
T03539,15,90.5,month-to-month,none,yes,no,yes,yes,card,0,yes,yes,0,0,0,34,no,islands,no
T05598,11,59.5,month-to-month,fibre,yes,no,yes,yes,bank transfer,0,no,no,1,1,0,25,yes,south,no
T05950,4,89.9,month-to-month,fibre,yes,no,no,no,mailed check,1,yes,yes,1,1,0,33,no,islands,yes
T02972,58,41.1,month-to-month,fibre,no,no,yes,yes,mailed check,0,no,no,2,1,0,73,no,south,yes
T06144,3,24.8,one-year,none,no,no,yes,yes,mailed check,0,yes,no,2,2,0,23,no,north,yes
T05843,26,66.9,month-to-month,dsl,no,no,yes,no,bank transfer,0,no,no,1,1,0,98,no,north,no
T02277,5,29.2,two-year,none,no,yes,yes,yes,bank transfer,0,yes,no,1,1,0,12,no,centre,no
T02827,24,68.5,two-year,fibre,no,no,no,yes,e-check,0,no,no,1,1,1,114,no,south,no
T02365,31,45.7,month-to-month,fibre,no,no,no,yes,e-check,0,yes,no,1,0,0,16,no,south,no
T06820,9,72.8,month-to-month,fibre,no,yes,no,no,mailed check,0,no,no,2,0,0,60,no,south,no
T00388,71,74,one-year,none,no,no,yes,yes,e-check,0,no,no,0,3,0,203,yes,north,no
T00741,74,28.7,month-to-month,fibre,no,no,yes,yes,e-check,0,yes,no,1,1,0,157,no,islands,no
T01165,8,27.4,month-to-month,fibre,yes,no,yes,no,card,0,no,no,1,1,1,65,no,south,no
T05171,17,106,one-year,dsl,no,yes,yes,yes,e-check,1,yes,yes,2,2,1,37,yes,north,no
T04404,1,58.2,month-to-month,fibre,yes,no,yes,yes,e-check,0,yes,yes,2,0,2,54,yes,centre,yes
T01814,9,100.8,two-year,dsl,no,no,no,yes,e-check,0,yes,no,1,0,2,45,no,centre,no
T02329,46,64.1,two-year,fibre,no,no,yes,no,bank transfer,0,yes,no,1,1,0,169,no,south,no
T01825,18,92.8,two-year,fibre,no,no,no,yes,bank transfer,0,yes,no,2,1,0,89,no,islands,no
T02705,1,77.9,month-to-month,fibre,yes,no,no,yes,e-check,0,no,no,0,1,0,64,yes,islands,yes
T02003,41,106.7,month-to-month,fibre,no,no,no,yes,mailed check,0,yes,yes,1,1,0,56,yes,south,yes
T01964,33,90.5,month-to-month,dsl,no,yes,yes,yes,e-check,0,yes,no,1,0,0,143,no,islands,no
T04283,151,63.7,month-to-month,dsl,no,no,yes,no,mailed check,0,yes,no,2,1,0,62,no,north,yes
T01100,31,65.9,two-year,fibre,no,yes,yes,yes,mailed check,0,no,no,1,0,0,101,no,islands,no
T03754,6,40.2,two-year,none,no,no,yes,no,bank transfer,0,yes,no,3,1,0,154,no,islands,no
T05574,42,83.6,month-to-month,dsl,no,yes,no,yes,mailed check,0,yes,no,1,1,3,34,no,south,yes
T03303,160,52.7,one-year,fibre,no,yes,no,yes,mailed check,0,no,no,1,1,1,28,no,north,no
T06724,11,100.9,month-to-month,fibre,yes,no,yes,yes,e-check,0,no,no,3,0,0,160,no,islands,yes
T02495,34,90.7,two-year,fibre,yes,yes,yes,yes,mailed check,0,no,no,2,0,1,6,no,north,no
T01054,6,20.9,month-to-month,dsl,no,no,yes,no,card,0,yes,yes,0,0,0,84,yes,centre,yes
T02126,5,100.8,one-year,dsl,yes,yes,no,yes,bank transfer,0,no,yes,1,2,0,29,no,south,no
T00742,39,105.4,one-year,dsl,no,yes,no,yes,mailed check,1,no,no,2,0,1,67,no,centre,yes
T05339,14,46.8,month-to-month,fibre,no,no,yes,yes,bank transfer,1,yes,no,2,0,0,20,no,north,no
T00804,6,65.5,two-year,fibre,no,no,no,yes,card,0,no,no,1,0,1,165,no,south,yes
T02901,84,91.8,month-to-month,fibre,no,no,no,yes,card,0,no,yes,1,1,0,41,no,south,no
T04350,30,49.6,month-to-month,fibre,no,no,yes,no,e-check,0,yes,no,1,0,0,84,no,south,no
T01774,75,81.3,month-to-month,dsl,no,no,yes,yes,mailed check,0,no,no,2,1,0,50,no,islands,no
T02383,10,52.5,month-to-month,dsl,no,no,no,yes,bank transfer,0,no,no,1,0,1,26,no,centre,no
T03035,19,80,month-to-month,fibre,no,no,no,no,bank transfer,0,yes,yes,2,0,2,134,yes,islands,yes
T02582,11,77.7,month-to-month,dsl,no,no,yes,yes,card,0,no,yes,0,0,1,122,no,islands,yes
T04889,17,58.6,two-year,dsl,no,no,yes,yes,bank transfer,0,yes,yes,1,0,0,84,no,islands,no
T04779,80,23.1,month-to-month,fibre,no,no,no,no,mailed check,0,no,no,1,0,0,26,yes,centre,no
T04938,48,55.5,one-year,none,no,yes,no,yes,e-check,0,yes,yes,1,1,1,37,yes,north,no
T04598,3,96.7,one-year,none,no,no,no,yes,bank transfer,0,no,no,2,1,1,55,no,south,no
