id,recency,frequency,monetary,tenure,returns,channel_online
C01604,35,14,607,72,1,0.14
C04740,251,3,1338,41,0,0.32
C03982,24,14,325,68,2,0.14
C04193,27,8,1251,63,3,0
C00625,28,15,419,33,2,0.92
C02039,9,11,1548,81,0,0
C00110,67,1,271,4,1,0.61
C02075,37,6,591,52,0,0.01
C02645,44,2,380,4,1,0.37
C03157,15,20,359,4,0,0.77
C00686,26,21,412,26,1,1
C05012,30,3,324,1,0,0.57
C03088,29,14,248,47,1,1
C01387,217,3,1495,34,2,0.27
C00144,23,9,812,62,0,0
C02018,291,6,1846,65,0,0.31
C02684,37,8,221,15,4,0.81
C04405,49,3,122,2,0,0.31
C04288,50,13,1227,50,0,0
C00486,28,10,308,30,1,0.15
C00012,73,6,157,2,0,0.23
C02220,188,3,1390,39,0,0.43
C04540,33,10,216,21,1,1
C01262,231,5,1974,61,0,0.41
C02130,15,9,759,67,1,0.04
C05289,35,1,502,2,1,0.6
C01921,33,2,122,4,0,0.43
C04656,20,11,314,32,2,0.94
C04387,10,4,203,32,2,0.75
C05822,289,4,2174,57,0,0.39
C05306,13,18,140,23,1,0.94
C04099,218,3,2114,31,1,0.43
C00682,6,16,1118,78,0,0.01
C01696,40,19,214,36,1,0.96
C05090,0,14,219,19,2,1
C01295,74,1,90,5,0,0.57
C04574,35,8,583,87,0,0.23
C00554,18,14,681,64,2,0.08
C05790,30,10,246,33,2,0.63
C00574,25,7,229,22,2,0.96
C00045,2,12,2233,11,0,0.38
C00008,35,13,881,68,1,0.24
C02598,36,12,703,84,0,0.2
C01741,1,11,595,36,1,0.03
C05131,298,2,1329,44,1,0.18
C01452,247,1,854,63,0,0.43
C04476,323,2,1523,45,1,0.21
C05669,227,2,961,35,0,0.36
C00943,194,3,1351,31,0,0.34
C02889,299,3,1528,33,1,0.32
C05789,267,2,1437,64,0,0.26
C02625,91,1,2700,40,0,0.49
C04490,30,16,616,90,0,0.08
C01213,34,11,892,59,1,0.15
C03613,14,12,443,32,3,1
C00434,8,13,1017,86,1,0
C01959,29,13,551,57,0,0.2
C01283,7,10,1547,60,0,0.05
C01961,49,6,788,69,0,0.25
C04335,1,6,947,49,0,0.08
C05654,16,13,431,51,0,0.01
C04545,29,5,113,6,0,0.52
C01135,20,14,495,50,6,0.82
C03206,22,17,323,23,2,0.78
C02659,7,15,191,12,3,1
C00872,214,1,1240,32,0,0.48
C03757,25,19,378,38,3,0.8
C05591,40,8,590,20,0,0.14
C02866,37,11,373,59,0,0
C00990,19,10,744,40,1,0.05
C04638,224,2,5045,63,0,0.36
C02589,42,14,1109,49,0,0.27
C02701,53,18,349,44,1,0.17
C01508,33,13,366,38,0,0.74
C05972,62,3,173,6,0,0.41
C02138,46,15,724,69,2,0.03
C00798,26,10,257,31,1,0.92
C02385,37,7,644,78,1,0.11
C03161,16,10,1332,52,1,0.23
C03791,34,12,1113,33,0,0.27
C05182,120,3,1618,40,1,0.39
C05405,6,13,258,14,2,0.78
C02763,32,6,1186,38,1,0.35
C00105,0,3,126,1,1,0.64
C02098,209,3,1909,29,0,0.18
C05705,32,13,2282,81,3,0.2
C01278,122,2,3140,66,1,0.28
C02849,38,3,65,1,1,0.59
C04561,35,18,1611,73,2,0.05
C04294,34,8,500,70,1,0.03
C03685,180,1,652,28,1,0.21
C05611,52,9,1309,50,1,0.19
C04506,53,2,316,4,1,0.46
C00168,0,2,264,3,0,0.46
C01551,255,5,1198,46,1,0.42
C02120,42,3,243,1,0,0.6
C05298,10,13,271,28,3,1
C01872,61,3,302,1,0,0.5
C05397,28,17,307,25,2,0.99
C03244,32,12,635,55,0,0.19
C02292,24,7,440,43,1,0.12
C04017,236,1,823,75,0,0.29
C05902,59,11,1872,58,3,0.24
C02492,32,15,759,48,0,0.19
C01969,348,1,3641,56,1,0.39
C00607,21,19,651,59,1,0.16
C05384,32,9,466,71,1,0.1
C01263,12,13,340,36,2,1
C04827,39,18,1710,27,1,0.24
C00027,30,8,838,67,3,0
C04110,18,13,583,43,2,0.15
C04949,35,4,158,6,0,0.51
C01092,28,12,825,34,1,0.08
C00953,134,4,2021,34,0,0.13
C03552,29,17,300,44,2,1
C00905,153,3,875,47,1,0.29
C04423,57,3,143,5,0,0.64
C02410,21,14,974,83,2,0.08
C01354,54,13,886,60,1,0
C05169,42,7,696,50,2,0.11
C02451,50,1,118,6,0,0.57
C01188,257,2,1787,36,0,0.29
C03332,46,3,136,3,0,0.43
C02706,39,2,209,3,0,0.55
C04166,32,16,442,16,3,0.92
C03252,28,15,285,32,3,1
C05920,26,12,712,94,0,0
C05420,37,10,712,52,0,0
C03624,22,8,231,25,1,0.82
C04994,125,4,489,17,1,0.36
C05396,15,11,333,32,0,1
C01948,28,12,131,41,2,0.97
C00880,253,2,2032,45,0,0.36
C04885,2,10,456,86,0,0.44
C04298,35,21,337,18,0,1
C05296,50,3,188,4,0,0.6
C04597,102,1,1490,39,2,0.35
C00191,34,5,310,5,0,0.51
C05173,23,20,281,45,2,0.97
C01665,28,14,1952,51,1,0.06
C01116,22,10,1147,57,1,0
C05955,25,10,494,79,0,0.16
C03351,16,10,549,63,0,0.22
C00299,19,21,218,24,1,0.94
C01432,34,16,203,25,0,1
C02262,22,5,188,5,1,0.56
C01751,49,14,807,71,2,0
C04754,37,11,1234,60,1,0.12
C03572,218,2,691,3,0,0.2
C01623,35,12,702,52,0,0
C05567,35,15,316,29,0,1
C03537,35,4,303,2,1,0.53
C05823,272,4,1896,39,1,0.46
C01797,3,16,253,12,1,0.95
C04142,41,9,345,12,1,1
C02086,32,20,380,22,2,0.79
C00997,10,9,217,57,1,0.87
C03551,49,14,929,83,1,0.07
C04653,14,9,227,15,1,0.93
C05689,15,17,592,52,0,0.81
C01379,32,9,1041,60,1,0.26
C05527,301,3,2188,61,1,0.38
C00715,16,13,436,15,1,1
C05401,150,2,797,30,1,0.45
C00193,21,13,735,58,0,0.11
C05007,42,3,204,1,0,0.77
C00621,35,7,1083,47,0,0.09
C00337,39,4,183,5,1,0.56
C00207,37,10,777,54,0,0.03
C03305,37,9,435,16,4,0.66
C03306,18,9,194,50,3,0.76
C04510,21,6,253,33,2,0.97
C03693,309,1,1129,43,2,0.42
C03591,23,8,678,49,2,0.26
C03307,18,8,896,65,3,0.15
C01150,15,12,994,42,0,0.06
C01866,50,10,225,6,2,0.88
C02052,61,3,135,4,0,0.36
C02249,30,14,355,86,0,0.03
C05747,33,22,270,41,1,0.78
C05845,38,6,426,5,0,0.49
C01181,61,11,753,88,1,0.05
C03883,30,14,58,30,3,1
C01925,0,1,284,4,0,0.57
C00519,56,1,83,5,1,0.7
C02472,230,3,824,51,0,0.41
C01943,11,11,1019,75,0,0.33
C04896,54,9,497,23,2,0.02
C04796,41,13,1074,102,0,0.16
C05801,45,14,993,59,0,0
C02081,36,13,215,45,0,0.75
C00102,32,9,1238,73,2,0.16
C01016,27,11,647,82,2,0.15
C02216,32,13,177,36,3,0.59
C05503,21,11,1112,35,1,0
C01161,245,3,1107,16,0,0.51
C01939,49,12,829,68,2,0.23
C00241,43,8,605,29,0,0.09
C04789,69,2,189,3,0,0.44
C02716,55,24,626,45,0,0.92
C00038,11,11,820,55,1,0.06
